Tarih,Etkilenen sayfa sayısı
2026-01-27,4663
2026-01-28,4385
2026-01-29,4385
2026-01-30,4385
2026-01-31,4385
2026-02-01,4337
2026-02-02,4337
2026-02-03,4337
2026-02-04,4193
2026-02-05,4193
2026-02-06,4193
2026-02-07,4193
2026-02-08,4060
2026-02-09,4060
2026-02-10,4060
2026-02-11,3985
2026-02-12,3985
2026-02-13,3985
2026-02-14,3985
2026-02-15,3906
2026-02-16,3906
2026-02-17,3906
2026-02-18,3849
2026-02-19,3849
2026-02-20,3849
2026-02-21,3849
2026-02-22,3822
2026-02-23,3822
2026-02-24,3822
2026-02-25,2985
2026-02-26,2985
2026-02-27,2985
2026-02-28,2985
2026-03-01,2985
2026-03-02,2985
2026-03-03,2985
2026-03-04,2631
2026-03-05,2631
2026-03-06,2631
2026-03-07,2631
2026-03-08,2515
2026-03-09,2515
2026-03-10,2515
2026-03-11,2020
2026-03-12,2020
2026-03-13,2020
2026-03-14,2020
2026-03-15,2020
2026-03-16,1943
2026-03-17,1943
2026-03-18,1547
2026-03-19,1547
2026-03-20,1547
2026-03-21,1547
2026-03-22,1472
2026-03-23,1472
2026-03-24,1472
2026-03-25,1435
2026-03-26,1435
2026-03-27,1435
2026-03-28,1435
2026-03-29,1348
2026-03-30,1348
2026-03-31,1348
2026-04-01,1065
2026-04-02,1065
2026-04-03,1065
2026-04-04,1065
2026-04-05,897
2026-04-06,897
2026-04-07,638
2026-04-08,638
2026-04-09,638
2026-04-10,638
2026-04-11,511
2026-04-12,511
2026-04-13,511
2026-04-14,424
2026-04-15,424
2026-04-16,424
2026-04-17,424
2026-04-18,385
2026-04-19,385
2026-04-20,385
